Date,Open,High,Low,Close
2023-09-05,16.002,16.002,16.002,16.002
2023-09-06,16.1,16.1,16.1,16.1
2023-09-07,15.918,15.918,15.918,15.918
2023-09-08,15.918,15.918,15.918,15.918
2023-09-11,16.02,16.02,16.02,16.02
2023-09-12,16.02,16.02,16.02,16.02
2023-09-13,16.02,16.02,16.02,16.02
2023-09-14,16.012,16.012,16.012,16.012
2023-09-15,16.11,16.11,16.11,16.11
2023-09-18,16.11,16.11,16.11,16.11
2023-09-19,16.11,16.11,16.11,16.11
2023-09-20,16.11,16.11,16.11,16.11
2023-09-21,16.12,16.12,16.12,16.12
2023-09-22,16.12,16.12,16.12,16.12
2023-09-25,16.12,16.12,16.12,16.12
2023-09-26,16.04,16.04,16.04,16.04
2023-09-27,16.04,16.04,16.04,16.04
2023-09-28,16.04,16.04,16.04,16.04
2023-09-29,16.14,16.14,16.14,16.14
2023-10-02,16.14,16.14,16.14,16.14
2023-10-03,16.19,16.19,16.19,16.19
2023-10-04,16.19,16.19,16.19,16.19
2023-10-05,16.19,16.19,16.19,16.19
2023-10-06,16.19,16.19,16.19,16.19
2023-10-09,16.19,16.19,16.19,16.19
2023-10-11,16.19,16.19,16.19,16.19
2023-10-12,16.087,16.087,16.087,16.087
2023-10-13,16.18,16.18,16.18,16.18
2023-10-16,16.125,16.125,16.125,16.125
2023-10-17,16.23,16.23,16.23,16.23
2023-10-18,16.23,16.23,16.23,16.23
2023-10-19,16.23,16.23,16.23,16.23
2023-10-23,16.125,16.125,16.125,16.125
2023-10-24,16.22,16.22,16.22,16.22
2023-10-25,16.22,16.22,16.22,16.22
2023-10-26,16.22,16.22,16.22,16.22
2023-10-27,16.832,16.832,16.832,16.832
2023-10-30,16.826,16.837,16.723,16.837
2023-10-31,16.837,16.837,16.835,16.836
2023-11-01,16.835,16.835,16.834,16.834
2023-11-02,16.834,16.835,16.834,16.835
2023-11-03,16.835,16.835,16.835,16.835
2023-11-06,16.721,16.834,16.721,16.833
2023-11-07,16.834,16.834,16.831,16.831
2023-11-08,16.831,16.831,16.831,16.831
2023-11-09,16.831,16.831,16.831,16.831
2023-11-10,16.831,16.831,16.831,16.831
2023-11-13,16.831,18.354,16.831,18.354
2023-11-14,18.354,18.354,18.354,18.354
2023-11-15,18.354,18.354,18.343,18.343
2023-11-16,18.343,18.343,18.125,18.125
2023-11-17,18.125,18.125,18.016,18.016
2023-11-20,18.016,18.016,18.016,18.016
2023-11-21,18.016,18.016,17.799,17.799
2023-11-22,17.799,17.799,17.799,17.799
2023-11-23,17.799,17.809,17.799,17.809
2023-11-24,17.809,17.809,17.809,17.809
2023-11-27,17.809,17.809,17.809,17.809
2023-11-28,17.809,17.809,17.809,17.809
2023-11-29,17.809,17.809,17.809,17.809
2023-11-30,17.809,18.628,17.809,18.628
2023-12-01,18.627,18.628,18.627,18.628
2023-12-04,18.627,18.627,18.354,18.354
2023-12-05,18.355,18.355,18.355,18.355
2023-12-06,18.355,18.355,18.355,18.355
2023-12-07,18.355,18.355,18.355,18.355
2023-12-08,18.355,18.355,18.355,18.355
2023-12-11,18.355,18.453,18.355,18.453
2023-12-12,18.453,18.453,18.453,18.453
2023-12-13,18.453,18.453,18.453,18.453
2023-12-14,18.453,18.453,18.453,18.453
2023-12-15,18.453,18.453,18.453,18.453
2023-12-18,18.453,18.453,18.453,18.453
2023-12-19,18.453,18.454,18.453,18.454
2023-12-20,18.453,18.454,18.453,18.454
2023-12-21,18.453,18.454,18.453,18.454
2023-12-22,18.453,18.454,18.453,18.454
2023-12-27,18.453,18.454,18.453,18.454
2023-12-28,18.453,18.454,18.453,18.454
2023-12-29,18.453,18.453,18.453,18.453
2024-01-02,18.453,18.454,18.453,18.454
2024-01-03,18.453,18.453,18.312,18.312
2024-01-04,18.312,18.312,18.312,18.312
2024-01-05,18.312,18.312,18.312,18.312
2024-01-08,18.312,18.312,18.312,18.312
2024-01-09,18.312,18.312,18.094,18.094
2024-01-10,18.094,18.094,17.876,17.876
2024-01-11,17.876,18.072,17.876,18.072
2024-01-12,18.072,18.072,18.072,18.072
2024-01-15,18.072,18.214,18.072,18.214
2024-01-16,18.214,18.214,18.214,18.214
2024-01-17,18.214,18.214,18.214,18.214
2024-01-18,18.214,18.214,18.214,18.214
2024-01-19,18.214,18.214,18.214,18.214
2024-01-22,18.214,18.214,18.214,18.214
2024-01-23,18.214,18.214,18.214,18.214
2024-01-24,18.214,18.214,18.214,18.214
2024-01-25,18.214,18.214,18.214,18.214
2024-01-26,18.214,18.291,18.214,18.291
2024-01-29,18.291,18.291,18.291,18.291
2024-01-30,18.291,18.291,17.855,17.855
2024-01-31,17.855,17.855,17.746,17.746
2024-02-01,17.746,17.746,17.528,17.528
2024-02-02,17.529,17.529,17.485,17.485
2024-02-05,17.485,17.485,17.485,17.485
2024-02-06,17.485,17.562,17.485,17.562
2024-02-07,17.562,17.562,17.562,17.562
2024-02-08,17.562,17.562,17.562,17.562
2024-02-09,17.562,17.562,17.562,17.562
